Artículo,Descripción,C.Fábrica,Precio,IVA
34,ADAPTADOR HIDRO - FOAM (B&D/GMA/KARCHER),,"728,750","21,00"
35,ADAPTADOR HIDRO - FOAM (PHILIPS/ VARIOS),,"843,750","21,00"
62,ALARGUE 10 CM P/CEPILLO,,"598,000","21,00"
61,ALARGUE 5 CM P/CEPILLO,,"520,000","21,00"
1,PINTURA REMOVIBLE 284 GR - NEGRO,,"625,000","21,00"
57,"BACKING 3"" ROTORBITAL GENERICO",,"1203,750","21,00"
58,"BACKING 5"" ROTORBITAL GENERICO",,"1476,250","21,00"
1,"BACKING GENERICO 1""",,"708,750","21,00"
2,"BACKING GENERICO 3""",,"750,000","21,00"
3,"BACKING PLATE 5""",,"475,000","21,00"
5,"BACKING PLATE 5"" FLEXIBLE",,"1475,000","21,00"
4,"BACKING PLATE 5"" SEMI FLEX",,"1475,000","21,00"
1,BOLITA PERFUMADA EMOJI,,"61,350","21,00"
50,CEPILLO DAYTONA AZUL,,"750,000","21,00"
30,CEPILLO DE MADERA DETALLADO INDIVIDUAL,,"416,000","21,00"
37,CEPILLO LIMP. CUERO Y TAPIZ. HORSE HAIR 100%,,"720,000","21,00"
39,CEPILLO LIMP. TAPIZ. PARA PULIDORA,,"2187,500","21,00"
48,CEPILLO LIMPIATAP. ECONOMICO,,"325,000","21,00"
71,CEPILLO LIMPIATAPIZADOS 3D,,"756,000","21,00"
28,CEPILLO PLASTICO DETALLADO INDIVIDUAL,,"429,052","21,00"
33,CEPILLO TIPO DAYTONA,,"871,000","21,00"
29,KIT CEPILLO MADERA  DETALLADO X 3,,"1296,000","21,00"
38,KIT CEPILLOS LIMP. TAPIZ PARA TALADRO,,"2250,000","21,00"
57,KIT X 3 PINCEL PROFESIONAL DETAILING BRUSH - MA,,"2231,145","21,00"
47,PINCEL DETALLADO ECONOMICO,,"216,000","21,00"
59,STONE BRUSH,,"792,639","21,00"
42,CLAY BAR AZUL 180 GR,,"412,500","21,00"
41,CLAY PAD,,"818,400","21,00"
43,CLAY BAR GO4 100 GR,,"415,701","21,00"
40,FOAM LANCE GENERICA,,"3100,000","21,00"
18,CEPILLO LIMPIANEUMATICOS - LAFFITTE,AJ31,"262,140","21,00"
17,CHAMOIS AMARILLO EXTRA LARGO - LAFFITTE,AJ91,"407,244","21,00"
16,CHAMOIS AMARILLO LARGO - LAFFITTE,AJ21,"216,288","21,00"
12,FOAM LANCE LAFFITTE,FL,"4380,000","21,00"
25,GATILLO SPRAY LAFFITTE,LG28,"58,900","21,00"
13,GUANTES MICROFIBRA CH - LAFFITTE,AJ28,"322,812","21,00"
14,GUANTES MICROFIBRA XL - LAFFITTE,AJ42,"399,588","21,00"
26,KIT DE BROCHAS DETAILING X 3,LP13D,"682,788","21,00"
15,PAD MICROFIBRA APLICADOR - LAFFITTE,AJ060,"127,992","21,00"
11,PAÑO EXTRA BRILLO VIDRIOS 30 X 35 LAFFITTE,AJ45,"125,925","21,00"
2,PAÑO MICRIFIBRA 30 X 30 PAQ. 10 UNIDADES LAFFITTE,J10,"661,896","21,00"
21,PAÑO MICROFIBRA 28 X 28 CAJA 50 UNIDADES - LAFFIT,J25C,"2890,752","21,00"
3,PAÑO MICROFIBRA 28 X 28 LAFFITTE,AJ25C,"60,213","21,00"
4,PAÑO MICROFIBRA 30 X 30 2 EN 1 LAFFITTE,AJ25,"178,020","21,00"
1,PAÑO MICROFIBRA 30 X 30 INDIVIDUAL LAFFITTE,AJ10,"68,950","21,00"
5,PAÑO MICROFIBRA 35 X 35 LAFFITTE,AJ26,"171,036","21,00"
6,PAÑO MICROFIBRA 40 X 60 LAFFITTE,AJ27,"275,808","21,00"
7,PAÑO MICROFIBRA 40 X 80 LAFFITTE,AJ41,"407,520","21,00"
23,PAÑO MICROFIBRA 40*40 - LAFFITTE,AJ04,"226,164","21,00"
24,PAÑO MICROFIBRA 50 X 70,AJ52,"779,796","21,00"
8,PAÑO MICROFIBRA 60 X 90 LAFFITTE,AJ53,"721,452","21,00"
22,PAÑO MICROFIBRA 60*40 AMARILLA - LAFFITTE,AJ27H,"275,808","21,00"
10,PAÑO MICROFIBRA ALTA DOBLE ACCION 40 X 60 LAFFI,AJ47,"543,744","21,00"
9,PAÑO MICROFIBRA TIPO WAFLE 40 X 60 LAFFITTE,AJ44,"312,408","21,00"
19,SECADOR PLASTICO MULTIUSO - LAFFITTE,AG23,"149,448","21,00"
2,LUSTRADORA ROTORBITAL VEL VAR - DAIHATSU - 800,,"14025,600","21,00"
1,LUSTRALIJADORA ROTATIVA VEL CTE - DAIHATSU - 120,,"14464,800","21,00"
53,MICROFIBRA AMARILLA 40*60 MAXSHINE,,"448,943","21,00"
51,MICROFIBRA AZUL MAXSHINE 40*40,,"767,151","21,00"
55,MICROFIBRA NARANJA ALTA DENSIDAD 60*40 MAXSHI,,"812,241","21,00"
Artículo,Descripción,C.Fábrica,Precio,IVA
56,PACK X 3 UNIDMICROF NARANJA ALTA DENSIDAD 60*4,,"2256,250","21,00"
52,PACK X 5 MICROF. AZUL 40*40 MAXSHINE,,"3551,625","21,00"
54,PACK X 5 UN MICRO AMARILLA 40*60 MAXSHINE,,"2078,438","21,00"
27,KIT CEPILLO DETALLADO X 5,,"2241,000","21,00"
25,PAD APLICADOR CIRCULAR PARA CUBIERTAS,,"130,000","21,00"
26,PAD APLICADOR MICROFIBRA GERERICO,,"104,000","21,00"
23,PAD APLICADOR POLIESPUMA,,"110,000","21,00"
24,PAD APLICADOR RECTANGULAR PARA CUBIERTAS,,"130,000","21,00"
6,"PAD CORDERO 3"" GENERICO",,"450,000","21,00"
9,"PAD CORDERO 5"" GENERICO",,"525,000","21,00"
7,"PAD CORDERO PLATINUM 3""",,"497,500","21,00"
10,"PAD CORDERO PLATINUM 5""",,"718,750","21,00"
13,"PAD POLIESPUMA 3 """,,"477,100","21,00"
16,"PAD POLIESPUMA 5""",,"625,300","21,00"
17,"PAD POLIESPUMA DIAMANTADO 5""",,"975,000","21,00"
18,"PAD POLIESPUMA LAKE COUNTRY CCS 5""",,"2125,000","21,00"
63,"PAD PULIR BLANCO GKTEK 5"" MENZERNA",,"1884,000","21,00"
65,"PAD PULIR NARANJA  GKTEK 5"" MENZERNA",,"1884,000","21,00"
64,"PAD PULIR NEGRO GKTEK 5"" MENZERNA",,"1884,000","21,00"
68,"PAD ROTORBITAL 5"" NORTH WOLF CORTE ALTO",,"1020,000","21,00"
70,"PAD ROTORBITAL 5"" NORTH WOLF CORTE BAJO",,"1020,000","21,00"
69,"PAD ROTORBITAL 5"" NORTH WOLF CORTE MEDIO",,"1020,000","21,00"
67,PAÑO MICROFIBRA 40*40 GRIS BLACK LINE,,"566,400","21,00"
66,PAÑO MICROFIBRA 40*60 VIOLETA BLACK LINE,,"702,000","21,00"
46,BOTELLA 750 ML + GATILLO,,"225,000","21,00"
45,GATILLOS ROSCA 28,,"102,400","21,00"
5,STRETCH CLASICO NEGRO  X 284 G,,"1020,000","21,00"
